tamaño sector numero.cifin Ebitda.ActivoTotal UtilNeta.Patrimonio Razón.Corriente Ciclo.Efectivo Pasivo.Ventas Pasivo.Activos Pasivo.total Default Saldos
P             2             10             0.179068361   0.179068361   1.13554758   1.910787e+01   0.25110132   0.71969697    -0.0090909091 0             9.371092e+07 
P             4             10             0.059561129   0.059561129   1.34053367   1.085714e+01   0.28749112   0.63401254     0.1070648216 0             1.021550e+07 
P             4             10             0.150297619   0.150297619   2.46058632   3.904799e+02   0.43470662   0.33997266     0.4654040229 0             2.509704e+08 
P             4             10             0.232382550   0.232382550   1.78419453   2.136405e+02   0.29401251   0.55201342     0.8470588235 0             1.482193e+08 
G             4             10             0.078754527   0.078754527   1.11049386   3.850719e+01   0.34198913   0.57871629     0.8647335082 0             1.121386e+09 
P             3             10             0.162441315   0.162441315   0.76958525   6.194092e+01   0.54340568   0.61126761    10.2173913043 0             2.679950e+07 
P             4             10             0.071332536   0.071332536   2.11113361   9.208606e+01   0.24870029   0.48586851     0.0000000000 0             1.040649e+07 
M             4             10             0.034687338   0.034687338   3.50026461   2.407792e+02   0.43416233   0.55311099    -0.1359670091 0             4.851566e+08 
M             2             10             0.135515252   0.135515252   4.39265214   1.308450e+02   0.25603027   0.38133030     0.2331497712 0             8.723942e+07 
P             3             10             0.384053561   0.384053561   2.40860215   4.350751e+01   0.20500452   0.41387705     8.3076923077 0             4.679252e+07 
G             3              4             0.018879330   0.018879330   1.31304083   2.358457e+01   0.14735267   0.56049306    -0.5858175248 0             3.307233e+07 
P             4             10             0.357039187   0.357039187   1.84507042   2.893080e+01   0.10105323   0.51523948    -0.3497267760 0             2.377364e+07 
P             2             10             0.210035524   0.210035524   1.82879377   7.840623e+01   0.21394381   0.45648313    -0.0839694656 0             6.825240e+08 
P             4             10             0.100267380   0.100267380   1.22516556   1.544551e+02   0.46713070   0.80748663    -0.4052287582 0             1.125930e+07 
P             4             10             0.030980091   0.030980091   1.56174764   6.348761e+01   0.34469872   0.59034410     1.8465217391 0             2.880370e+08 
P             1             10             0.120021243   0.120021243   1.63808140   6.155495e+01   0.22544410   0.45831121     0.2956810631 0             1.543379e+08 
G             3             10             0.191471180   0.191471180   1.54961419   9.739326e+00   0.95566202   0.57769513    -0.4750701519 0             6.868034e+07 
G             4             10             0.075704546   0.075704546   1.02538362   1.577372e+01   0.47079582   0.93229111     0.4060937324 0             9.294144e+07 
G             4             10             0.077600473   0.077600473   1.46678352   1.541851e+02   0.42482687   0.67434988     0.2015974441 0             2.311016e+07 
P             4             10             0.019932988   0.019932988   0.99299631   3.365146e+01   0.45402462   0.78792283    -0.1480030527 0             8.837001e+07 
P             2             10             0.130874674   0.130874674   0.99839056   2.389058e+01   0.40355055   0.62009315    -0.0574514191 0             9.939783e+06 
P             3             10             0.018590088   0.018590088   1.50497058   1.046391e+01   0.20207537   0.34487737     0.9713994257 0             3.254108e+08 
P             4             10             0.190386428   0.190386428   1.36962751   1.112153e+02   0.25823159   0.65786993     1.4692737430 0             6.360022e+07 
P             3             10             1.537493953   1.537493953   1.97857143   2.116240e+01   0.14490254   0.40638607    -0.6958955224 0             5.926048e+07 
P             3             10            -0.657980456  -0.657980456   0.10249307   7.621736e+00   0.25476359   0.78393051    -0.5924528302 0             2.583090e+08 
P             3             10            -0.209259934  -0.209259934   1.35702659   2.339345e+02   0.87761905   0.70263058     0.0102040816 0             1.651981e+08 
P             1              4            -0.001203369  -0.001203369   0.93506494   1.744956e+01   0.49169860   0.46329723    -0.2142857143 0             3.746910e+07 
P             3             10             0.179046563   0.179046563   1.08662900   2.512517e+02   0.70455551   0.88303769    -0.0464163823 0             5.521606e+08 
G             3             10             0.211773038   0.211773038   2.90739051   5.376923e+01   0.25833333   0.26863309    -0.4892031130 0             6.839206e+07 
P             2             10             0.516763006   0.516763006   2.78388278   2.249664e+01   0.08159437   0.40231214     0.6347826087 0             2.042690e+08 
M             2             10             0.189393939   0.189393939   2.20226917   2.870063e+02   0.21518470   0.42440361     0.0893442623 0             1.023963e+08 
G             4             10             0.305882353   0.305882353   1.71052632   1.471512e+01   0.05815733   0.55882353     0.0000000000 0             2.364178e+07 
P             4             10             0.284431138   0.284431138   1.25541126   2.301538e+01   0.15597569   0.69161677    -0.2857142857 0             1.464756e+07 
P             4             10             0.196804207   0.196804207   1.47770419   1.212260e+02   0.36309095   0.61205502     0.4289308176 0             8.173906e+08 
G             3              4             0.161658781   0.161658781   1.21695027   2.150249e+02   1.48075775   0.78050870     0.1877608514 0             9.956690e+09 
G             3             10             0.042779846   0.042779846   0.38212967   7.791067e+01   1.13965592   0.57989653    -0.1489902390 0             7.849331e+09 
P             2              4            -0.338636364  -0.338636364   0.89182058   6.912377e+00   0.53434066   0.88409091     0.5057471264 1             8.572270e+05 
P             4             10             0.017287234   0.017287234   0.94581281   6.459039e+01   0.79688558   0.52241456    -0.6919642857 0             1.255437e+08 
G             3             10             0.086507280   0.086507280   1.10714337   4.615780e+01   0.20145459   0.84692024     0.9568655019 0             1.138162e+08 
P             4             10            -0.109581498  -0.109581498   6.93896714   3.156397e+02   0.12405358   0.12255466     0.0000000000 0             1.459922e+07 
P             2             10             0.087240693   0.087240693   2.01410256   2.068314e+02   0.47826087   0.45325377     1.2463768116 0             1.137773e+08 
P             2             10             0.147694524   0.147694524   0.86359447   4.797977e+01   0.41940472   0.78170029     4.3846153846 0             3.654259e+07 
P             3              1             0.256896552   0.256896552   3.15769231   1.632879e+01   0.09497445   0.38448276     1.4444444444 0             3.465537e+07 
G             1             10             0.214230173   0.214230173   0.32369979   1.846840e+01   0.25059453   0.59908163     1.3934855083 0             2.516653e+08 
P             1             10            -0.009635974  -0.009635974   2.55555556   9.414898e+01   0.22841901   0.50428266    -0.6472795497 0             3.922816e+06 
P             2             10             0.165622153   0.165622153   0.83811172   1.741185e+01   0.29409967   0.58816366     0.8433502106 0             2.322851e+08 
P             2             10             0.145190563   0.145190563   1.89787234   8.916556e+01   0.28587196   0.23502722    -0.5152004848 0             1.274395e+08 
P             3             10             0.318775510   0.318775510   2.06700508   5.153204e+01   0.09908460   0.40204082    -0.6811594203 0             1.713144e+08 
P             2             10             0.082051282   0.082051282   2.78451883   1.476156e+02   0.26292629   0.35018315     1.3515151515 0             3.135565e+07 
P             4             10             0.390260173   0.390260173   1.77526754   1.198174e+02   0.27847682   0.56104069    -0.5117370892 0             3.336343e+08 
G             3             10             0.065342443   0.065342443   1.05498772   3.471963e+00   0.28257956   0.42277401    -0.1021707784 0             4.136945e+09 
G             1              4            -0.033212244  -0.033212244   1.09585704   6.804523e+01   0.95531583   0.31205663    -0.1803751245 0             2.579062e+07 
P             3             10             0.024271845   0.024271845   1.23655914   8.778890e+01   0.42311192   0.27208894    -1.0000000000 0             1.132995e+07 
P             2             10             0.072994987   0.072994987   1.20527046   1.521374e+02   0.54074327   0.56141593     0.4263456091 0             2.812335e+07 
P             1             10             0.006049505   0.006049505   1.32750331   4.735501e+01   0.24264499   0.57433189     2.4999804512 0             9.596562e+06 
M             2             10             0.212933328   0.212933328   1.81736617   9.133232e+01   0.34464742   0.53617850    -0.4811262136 0             4.689469e+08 
P             4             10             0.186634067   0.186634067   0.66666667   7.788925e-02   0.37440170   0.86063570     0.1973898858 0             1.769558e+08 
P             3             10            -0.020201470  -0.020201470   1.03043114   1.674253e+01   0.42192084   0.93659588     3.1250000000 0             3.733609e+07 
P             2             10             0.081198910   0.081198910   1.34402174   1.913387e+02   0.50478128   0.80551948     0.4895199459 0             5.963157e+07 
P             3             10             0.424951267   0.424951267   5.35526316   7.115141e+01   0.06890299   0.15767635    -1.0000000000 0             1.907479e+08 
P             3             10             0.379254457   0.379254457   1.58914729   9.783029e+01   0.23093448   0.52269044     0.0000000000 0             5.103367e+07 
M             4             10             0.156563027   0.156563027   2.48421488   1.351654e+02   0.13486774   0.30997288    -0.8611714765 0             6.486315e+08 
P             2             10             0.237209302   0.237209302   1.18586387   6.627950e+01   0.20449679   0.44418605     1.4621212121 0             4.665123e+07 
M             3             10             0.128160191   0.128160191   1.10630650   4.352184e+01   0.26230589   0.86523962     0.9438981619 0             3.042633e+08 
P             2             10             0.160472973   0.160472973   1.33531510   6.642270e+01   0.26555099   0.47353604     0.4545454545 0             1.163917e+08 
P             3             10             0.037974684   0.037974684   1.28571429   2.650322e+01   0.13876035   0.67062396     8.1176470588 0             1.722602e+08 
G             4             10             0.106311099   0.106311099   2.60303802   1.134693e+02   0.22754554   0.28505665     2.0177382054 0             5.436156e+08 
P             2             10             0.065891473   0.065891473   5.00000000   1.223835e+02   0.04975124   0.07751938    -1.0000000000 0             2.316996e+06 
P             4             10             0.055975122   0.055975122   1.16373057   6.567239e+01   0.76465927   0.85739671    -0.1904761905 0             6.907035e+08 
P             2             10             0.144708423   0.144708423   0.81170483   6.213333e+01   0.29111111   0.84881210     0.0000000000 0             5.430330e+06 
G             3             10             0.019749751   0.019749751   2.13352966   2.939146e+01   0.51810781   0.65227458     0.2437472311 0             1.555530e+10 
P             2              4             0.134345794   0.134345794   1.64596273   1.514460e+02   0.35211268   0.49786629    -0.0312500000 1             9.269254e+06 
G             2             10             0.018879499   0.018879499   1.31796769   2.675551e+01   0.15006573   0.57451349     0.0975430041 0             8.114949e+08 
M             2              4             0.073725552   0.073725552   1.87283103   2.422325e+02   0.67624997   0.78404718     0.1835185214 0             2.957916e+06 
P             3             10             0.262205156   0.262205156   3.14191419   1.931176e+01   0.10517182   0.18253012     0.0000000000 0             1.476631e+07 
P             2             10             0.240731070   0.240731070   1.80253879   9.411004e+01   0.18054495   0.37023499     0.4162436548 0             1.538303e+08 
P             2             10             0.481366460   0.481366460   1.76562500   3.218025e+01   0.19795658   0.72204969    -0.6015037594 0             3.714098e+07 
P             2             10             0.368541250   0.368541250   2.21423729   1.923992e+02   0.49629778   0.70796460     0.0000000000 0             8.077486e+07 
P             2             10             0.144643828   0.144643828   2.38364780   9.556553e+01   0.15553925   0.34584013     0.9868270644 0             2.764909e+08 
P             3             10             0.162663755   0.162663755   1.50947368   1.557000e+02   0.59375000   0.51855895     0.3493975904 0             1.231704e+07 
P             3             10            -0.061417795  -0.061417795   1.03164258   1.121919e+01   0.15044761   0.80329720    -0.9712718348 0             1.259703e+08 
P             2             10             0.154396423   0.154396423   2.14413681   2.796828e+02   0.43841882   0.40000000     0.1096938776 0             1.677926e+08 
P             3             10             0.147877013   0.147877013   1.42143906   1.869282e+01   0.13702213   0.33235725    -0.7800000000 0             1.115588e+08 
P             3             10             0.014675418   0.014675418   3.02763687   1.268191e+01   0.29923393   0.11886778     0.0000000000 0             5.513791e+07 
P             2             10             0.273250240   0.273250240   1.29090909   1.983870e+00   0.15327450   0.31853282    -0.8396226415 0             7.986146e+07 
P             4             10             0.030229746   0.030229746   0.76287554   3.371844e+01   0.12744428   0.28336881    -0.3333333333 1             3.485389e+07 
G             4             10             0.094205913   0.094205913   4.69722540   1.689550e+02   0.44205941   0.81079444    -0.0870970460 0             2.045627e+08 
P             2             10             0.135593220   0.135593220   2.09854015   1.381113e+02   0.30426045   0.55784819     1.4861111111 0             3.174867e+08 
G             3             10             0.073903319   0.073903319   2.01374911   8.927992e+01   0.22196004   0.38369500     0.0000000000 0             6.125913e+08 
P             2              2            -0.291051315  -0.291051315   0.65654666   9.664503e+01   3.01158988   1.17475415    -0.2651991460 0             9.748395e+06 
P             3              3             0.256390395   0.256390395   0.26424051   4.594998e+01   0.19364426   0.66379310    -0.2227848101 0             1.002388e+08 
P             2             10             0.085012594   0.085012594   0.56006240   2.238645e+02   1.06213753   0.80730479     0.2008281573 0             2.942629e+06 
G             4             10            -0.043903634  -0.043903634   1.27057775   8.111836e+00   0.22423695   0.80536414     1.9118905047 0             9.610086e+07 
P             3             10            -0.215323646  -0.215323646  14.14666667   1.545706e+02   0.05935892   0.05031869    -1.0000000000 0             4.110177e+07 
M             4             10             0.211925691   0.211925691   2.12075624   1.225264e+02   0.23295636   0.45012897    -0.0467150128 0             4.728117e+08 
P             3             10             0.045098039   0.045098039   1.22580645   5.833991e+01   0.26515705   0.71176471     0.1485148515 0             3.709729e+07 
P             3             10            -0.002803738  -0.002803738   1.74019608   4.493314e+01   0.16641902   0.20934579     0.2413793103 0             2.085500e+07 
P             4             10             0.062998405   0.062998405   2.57039711   7.247121e+01   0.31752306   0.57655502    -0.6029411765 1             3.919952e+08 
M             3             10             0.041816638   0.041816638   1.92014602   8.467489e+01   0.19281823   0.36479246    -1.0000000000 0             3.656550e+07 
G             4             10             0.177095545   0.177095545   1.81442044   3.104631e+01   0.05078487   0.48168230     0.5055131467 0             4.751643e+08 
P             4             10             0.100816015   0.100816015   2.31015627   7.707880e+01   0.21767996   0.34297746     0.2680699975 0             4.583977e+07 
P             2             10             0.113979849   0.113979849   2.10409671   1.608506e+02   0.29923633   0.46882872     0.1341300417 0             3.649829e+07 
P             2             10             0.049276779   0.049276779   6.68433911   1.825371e+02   0.11221551   0.13244714     0.0000000000 0             1.521839e+08 
P             3             10             0.146690519   0.146690519   2.32057416   3.535421e+01   0.06658559   0.39177102    -0.1764705882 0             9.711652e+06 
G             3             10             0.343946397   0.343946397   1.78214671   6.279426e+01   0.27912097   0.35493700    -0.1195408735 0             2.048937e+09 
P             2              3             0.367567568   0.367567568   1.22751323   5.340203e+01   0.36267232   0.61621622    -0.1224489796 0             1.809880e+07 
G             3             10             0.113666870   0.113666870   1.00181984   6.650739e+01   1.01999819   0.70480835     0.3950180505 0             5.429659e+09 
P             3             10             0.311900192   0.311900192   1.42045455   7.027732e+01   0.23980424   0.42322457    -0.1960784314 0             1.723680e+08 
P             2             10             0.239027684   0.239027684   1.22651223   4.232287e+01   0.34600000   0.58406482     0.0081521739 0             5.934629e+07 
